Company name,Ticker,Dividend,Margin,Year,Assets,Liabilities,Shares
Baytex Energy,BTE,6.21,15.2,2010,1981,870,1484
Baytex Energy,BTE,6.21,15.2,2011,2462,1255,1680
Baytex Energy,BTE,6.21,15.2,2012,2538,1239,1860
Spyglass Resources,SGL,13.17,-12.9,2010,682,265,436
Spyglass Resources,SGL,13.17,-12.9,2011,739,304,433
Spyglass Resources,SGL,13.17,-12.9,2012,582,299,430
Crocotta Energy,CTA,0,5.3,2010,186,61,168
Crocotta Energy,CTA,0,5.3,2011,240,60,226
Crocotta Energy,CTA,0,5.3,2012,301,121,228
Cenovus Energy,CVE,3.65,3.5,2010,22194,12788,3780
Cenovus Energy,CVE,3.65,3.5,2011,24216,14434,3829
Cenovus Energy,CVE,3.65,3.5,2012,25224,15278,3857
Manitok Energy,MEI,0,5.2,2010,45,7,43
Manitok Energy,MEI,0,5.2,2011,104,28,87
Manitok Energy,MEI,0,5.2,2012,126,36,103
Long Run Exploration,LRE,8.01,-6.7,2010,244,48,183
Long Run Exploration,LRE,8.01,-6.7,2011,666,215,486
Long Run Exploration,LRE,8.01,-6.7,2012,1193,608,657
Rock Energy,RE,0,-8.7,2010,166,60,105
Rock Energy,RE,0,-8.7,2011,189,60,134
Rock Energy,RE,0,-8.7,2012,146,28,134
Whitecap Resources,WCP,5.7,14.6,2010,212,61,153
Whitecap Resources,WCP,5.7,14.6,2011,642,261,355
Whitecap Resources,WCP,5.7,14.6,2012,1496,586,828
Surge Energy,SGY,9.22,-39.8,2010,718,365,352
Surge Energy,SGY,9.22,-39.8,2011,679,335,354
Surge Energy,SGY,9.22,-39.8,2012,933,345,596
Raging River Exploration,RRX,0,24.6,2012,316,59,242
Bellatrix Exploration,BXE,0,26.4,2010,477,179,317
Bellatrix Exploration,BXE,0,26.4,2011,580,232,370
Bellatrix Exploration,BXE,0,26.4,2012,681,300,372
Spartan Energy,SPE,0,-1.3,2010,34,15,24
Spartan Energy,SPE,0,-1.3,2011,33,17,25
Spartan Energy,SPE,0,-1.3,2012,33,17,25
Blackbird Energy,BBI,0,-385.3,2010,6,0,6
Blackbird Energy,BBI,0,-385.3,2011,8,1,11
Blackbird Energy,BBI,0,-385.3,2012,8,1,15
TORC Oil & Gas,TOG,4.96,-6.2,2010,422,188,216
TORC Oil & Gas,TOG,4.96,-6.2,2011,368,41,330
TORC Oil & Gas,TOG,4.96,-6.2,2012,627,86,559
TAG Oil,TAO,0,12.3,2010,105,10,153
TAG Oil,TAO,0,12.3,2011,149,16,171
TAG Oil,TAO,0,12.3,2012,211,20,214
Longview Oil,LNV,8.92,-8.8,2011,514,224,459
Longview Oil,LNV,8.92,-8.8,2012,490,234,460
